# ========
# Ratio-margin	01 percent
city_year	p0	p1	p2	p3	
c4_t1	4.77454e+07	9.62536e+07	8.77428e+09	6.36226e+07
c5_t0	8.22477e+07	8.73435e+07	1.00134e+10	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.50178e+08	1.11448e+08	1.76945e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	17 percent
city_year	p0	p1	p2	p3	
c0_t0	1.67615e+08	1.0423e+08	1.48434e+10	3.32235e+08
c0_t1	1.47105e+08	1.16885e+08	1.64501e+10	3.8161e+08
c1_t0	1.6947e+08	1.33926e+08	1.7313e+10	1.45589e+08
c1_t1	1.725e+08	1.90527e+08	1.94493e+10	1.3632e+08
c2_t0	5.78215e+07	5.46506e+07	7.65392e+09	1.28698e+08
c2_t1	4.74084e+07	6.38795e+07	7.75182e+09	1.08116e+08
c3_t0	1.04613e+08	9.34316e+07	1.57314e+10	5.44562e+08
c3_t1	1.19511e+08	9.56852e+07	1.50766e+10	3.98797e+08
c4_t0	4.61735e+07	1.04551e+08	8.70359e+09	1.03321e+08
c4_t1	4.82228e+07	9.62536e+07	8.77435e+09	6.30788e+07
c5_t0	8.14253e+07	8.73435e+07	9.9287e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.48676e+08	1.11448e+08	1.7696e+10	1.64267e+08
c6_t1	1.61466e+08	1.03172e+08	2.02667e+10	1.03172e+08
# ========
# Ratio-margin	18 percent
city_year	p0	p1	p2	p3	
c0_t0	1.69308e+08	1.0423e+08	1.47163e+10	3.2942e+08
c0_t1	1.45648e+08	1.16885e+08	1.63119e+10	3.78376e+08
c1_t0	1.71182e+08	1.33926e+08	1.71648e+10	1.44355e+08
c1_t1	1.70793e+08	1.90527e+08	1.92859e+10	1.35165e+08
c2_t0	5.84056e+07	5.46506e+07	7.58841e+09	1.27607e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.0567e+08	9.34316e+07	1.55967e+10	5.39947e+08
c3_t1	1.18327e+08	9.56852e+07	1.495e+10	3.95417e+08
c4_t0	4.66399e+07	1.04551e+08	8.6291e+09	1.02445e+08
c4_t1	4.77454e+07	9.62536e+07	8.77536e+09	6.25442e+07
c5_t0	8.22477e+07	8.78624e+07	9.84372e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.50178e+08	1.11448e+08	1.76945e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	19 percent
city_year	p0	p1	p2	p3	
c0_t0	1.69308e+08	1.0423e+08	1.45926e+10	3.26651e+08
c0_t1	1.45648e+08	1.16885e+08	1.61749e+10	3.75196e+08
c1_t0	1.71182e+08	1.33926e+08	1.70206e+10	1.43142e+08
c1_t1	1.70793e+08	1.90527e+08	1.91239e+10	1.34029e+08
c2_t0	5.84056e+07	5.46506e+07	7.52464e+09	1.26535e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.0567e+08	9.34316e+07	1.54657e+10	5.35409e+08
c3_t1	1.18327e+08	9.56852e+07	1.48244e+10	3.92095e+08
c4_t0	4.66399e+07	1.04551e+08	8.55659e+09	1.01584e+08
c4_t1	4.77454e+07	9.62536e+07	8.77588e+09	6.20186e+07
c5_t0	8.30702e+07	8.82169e+07	9.84255e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.50178e+08	1.11448e+08	1.76945e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	20 percent
city_year	p0	p1	p2	p3	
c0_t0	1.69308e+08	1.0423e+08	1.4471e+10	3.23929e+08
c0_t1	1.45648e+08	1.16885e+08	1.60401e+10	3.7207e+08
c1_t0	1.71182e+08	1.33926e+08	1.68787e+10	1.41949e+08
c1_t1	1.70793e+08	1.90527e+08	1.90017e+10	1.32912e+08
c2_t0	5.84056e+07	5.46506e+07	7.46194e+09	1.2548e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.0567e+08	9.34316e+07	1.53368e+10	5.30948e+08
c3_t1	1.18327e+08	9.56852e+07	1.47009e+10	3.88827e+08
c4_t0	4.66399e+07	1.04551e+08	8.48528e+09	1.00738e+08
c4_t1	4.77454e+07	9.62536e+07	8.7764e+09	6.15018e+07
c5_t0	8.22477e+07	8.73435e+07	9.84424e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.50178e+08	1.11448e+08	1.76945e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	21 percent
city_year	p0	p1	p2	p3	
c0_t0	1.69308e+08	1.0423e+08	1.43514e+10	3.21252e+08
c0_t1	1.45648e+08	1.16885e+08	1.59075e+10	3.68995e+08
c1_t0	1.71182e+08	1.33926e+08	1.67392e+10	1.40776e+08
c1_t1	1.70793e+08	1.90527e+08	1.90028e+10	1.31813e+08
c2_t0	5.84056e+07	5.46506e+07	7.40027e+09	1.24443e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.0567e+08	9.34316e+07	1.521e+10	5.2656e+08
c3_t1	1.18327e+08	9.56852e+07	1.45794e+10	3.85614e+08
c4_t0	4.66399e+07	1.04551e+08	8.41516e+09	9.99054e+07
c4_t1	4.77454e+07	9.62536e+07	8.77691e+09	6.09935e+07
c5_t0	8.22477e+07	8.73435e+07	9.84424e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.50178e+08	1.11448e+08	1.76945e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	22 percent
city_year	p0	p1	p2	p3	
c0_t0	1.69308e+08	1.0423e+08	1.42338e+10	3.18619e+08
c0_t1	1.45648e+08	1.16885e+08	1.57771e+10	3.6597e+08
c1_t0	1.71182e+08	1.33926e+08	1.6602e+10	1.39622e+08
c1_t1	1.70793e+08	1.90527e+08	1.90038e+10	1.30733e+08
c2_t0	5.84056e+07	5.46506e+07	7.33961e+09	1.23423e+08
c2_t1	4.6939e+07	6.38795e+07	7.77179e+09	8.86195e+07
c3_t0	1.0567e+08	9.34316e+07	1.50854e+10	5.22243e+08
c3_t1	1.18327e+08	9.56852e+07	1.44599e+10	3.82453e+08
c4_t0	4.66399e+07	1.04551e+08	8.34618e+09	9.90865e+07
c4_t1	4.77454e+07	9.62536e+07	8.77741e+09	6.04936e+07
c5_t0	8.22477e+07	8.73435e+07	9.84424e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.50178e+08	1.11448e+08	1.76945e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	23 percent
city_year	p0	p1	p2	p3	
c0_t0	1.65955e+08	1.0423e+08	1.41205e+10	3.16029e+08
c0_t1	1.45648e+08	1.16885e+08	1.56488e+10	3.62995e+08
c1_t0	1.67793e+08	1.33926e+08	1.64698e+10	1.38487e+08
c1_t1	1.70793e+08	1.90527e+08	1.90049e+10	1.2967e+08
c2_t0	5.7249e+07	5.46506e+07	7.28116e+09	1.2242e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.03577e+08	9.34316e+07	1.49652e+10	5.17998e+08
c3_t1	1.18327e+08	9.56852e+07	1.43423e+10	3.79343e+08
c4_t0	4.57163e+07	1.04551e+08	8.27972e+09	9.82809e+07
c4_t1	4.77454e+07	9.62536e+07	8.7779e+09	6.00018e+07
c5_t0	8.14253e+07	8.73435e+07	9.84507e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.47204e+08	1.11448e+08	1.76974e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	24 percent
city_year	p0	p1	p2	p3	
c0_t0	1.65955e+08	1.0423e+08	1.40066e+10	3.1348e+08
c0_t1	1.45648e+08	1.16885e+08	1.55226e+10	3.60067e+08
c1_t0	1.67793e+08	1.33926e+08	1.6337e+10	1.3737e+08
c1_t1	1.70793e+08	1.90527e+08	1.89751e+10	1.59494e+08
c2_t0	5.7249e+07	5.46506e+07	7.22245e+09	1.21432e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.03577e+08	9.34316e+07	1.48445e+10	5.1382e+08
c3_t1	1.18327e+08	9.56852e+07	1.42266e+10	3.76284e+08
c4_t0	4.57163e+07	1.04551e+08	8.21295e+09	9.74883e+07
c4_t1	4.77454e+07	9.62536e+07	8.77838e+09	5.95179e+07
c5_t0	8.14253e+07	8.73435e+07	9.84507e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.47204e+08	1.11448e+08	1.76974e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	25 percent
city_year	p0	p1	p2	p3	
c0_t0	1.65955e+08	1.0423e+08	1.38945e+10	3.10972e+08
c0_t1	1.45648e+08	1.16885e+08	1.53985e+10	3.57187e+08
c1_t0	1.67793e+08	1.33926e+08	1.62063e+10	1.36271e+08
c1_t1	1.70793e+08	1.90527e+08	1.9007e+10	1.27595e+08
c2_t0	5.7249e+07	5.46506e+07	7.16467e+09	1.20461e+08
c2_t1	4.6939e+07	6.38795e+07	7.75229e+09	1.08116e+08
c3_t0	1.03577e+08	9.34316e+07	1.47258e+10	5.0971e+08
c3_t1	1.18327e+08	9.56852e+07	1.41128e+10	3.73274e+08
c4_t0	4.57163e+07	1.04551e+08	8.14724e+09	9.67084e+07
c4_t1	4.77454e+07	9.62536e+07	8.77886e+09	5.90417e+07
c5_t0	8.14253e+07	8.73435e+07	9.84507e+09	5.03208e+07
c5_t1	6.008e+07	8.73811e+07	1.17471e+10	1.21466e+08
c6_t0	1.47204e+08	1.11448e+08	1.76974e+10	1.64267e+08
c6_t1	1.59867e+08	1.03172e+08	2.02683e+10	1.03172e+08
# ========
# Ratio-margin	26 percent
city_year	p0	p1	p2	p3	
c0_t0	1.67632e+08	1.0423e+08	1.37831e+10	3.08504e+08
c0_t1	1.45648e+08	1.16885e+08	1.52763e+10	3.54352e+08
c1_t0	1.71182e+08	1.35265e+08	1.60798e+10	1.70339e+08
